strategy,signal_time,entry_time,exit_time,entry_price,exit_price,sl,target,shares,pnl,exit_reason,symbol
VOLATILITY_BREAKOUT,2025-10-15 12:00:00+05:30,2025-10-16 08:00:00+05:30,2025-10-31 08:00:00+05:30,244.0,247.6,233.3,265.4,409,1472.3999999999976,CLOSE_BELOW_EMA_FAST,ANGELONE
VOLATILITY_BREAKOUT,2025-10-16 08:00:00+05:30,2025-10-16 12:00:00+05:30,2025-11-06 08:00:00+05:30,2207.3,2229.7,2131.0,2359.9,45,1007.9999999999836,CLOSE_BELOW_EMA_FAST,GODREJPROP
VOLATILITY_BREAKOUT,2025-10-16 08:00:00+05:30,2025-10-16 12:00:00+05:30,2025-11-04 08:00:00+05:30,5793.0,5837.5,5574.96,6229.08,17,756.5,CLOSE_BELOW_EMA_FAST,PERSISTENT
VOLATILITY_BREAKOUT,2025-10-16 08:00:00+05:30,2025-10-16 12:00:00+05:30,2025-10-24 08:00:00+05:30,436.0,435.3,426.8,454.4,229,-160.2999999999974,CLOSE_BELOW_EMA_FAST,KOTAKBANK
VOLATILITY_BREAKOUT,2025-10-16 08:00:00+05:30,2025-10-16 12:00:00+05:30,2025-10-28 08:00:00+05:30,2560.7,2438.4199999999996,2438.4199999999996,2805.26,39,-4768.920000000007,SL,BSE
VOLATILITY_BREAKOUT,2025-10-16 08:00:00+05:30,2025-10-16 12:00:00+05:30,2025-10-21 12:00:00+05:30,1702.8,1644.54,1644.54,1819.3200000000002,58,-3379.0799999999995,SL,PHOENIXLTD
VOLATILITY_BREAKOUT,2025-10-17 08:00:00+05:30,2025-10-17 12:00:00+05:30,2025-10-21 12:00:00+05:30,3371.6,3279.18,3279.18,3556.4399999999996,29,-2680.180000000002,SL,MUTHOOTFIN
VOLATILITY_BREAKOUT,2025-10-17 08:00:00+05:30,2025-10-17 12:00:00+05:30,2025-10-29 08:00:00+05:30,2023.3,2108.66,1980.62,2108.66,49,4182.639999999995,TARGET,BHARTIARTL
VOLATILITY_BREAKOUT,2025-10-17 08:00:00+05:30,2025-10-17 12:00:00+05:30,2025-10-24 08:00:00+05:30,8020.0,7842.5,7842.5,8375.0,12,-2130.0,SL,APOLLOHOSP
VOLATILITY_BREAKOUT,2025-10-17 12:00:00+05:30,2025-10-20 08:00:00+05:30,2025-10-20 08:00:00+05:30,1442.0,1417.31,1417.31,1491.38,69,-1703.6100000000038,SL,ICICIBANK
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-10-24 12:00:00+05:30,1606.8,1584.6,1568.31,1683.78,62,-1376.4000000000028,CLOSE_BELOW_EMA_FAST,CIPLA
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-10-31 08:00:00+05:30,816.05,872.4,787.875,872.4,122,6874.700000000003,TARGET,INDIANB
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-10-29 08:00:00+05:30,1188.9,1145.16,1145.16,1276.38,84,-3674.1600000000008,SL,360ONE
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-11-10 08:00:00+05:30,860.9,917.6,832.55,917.6,116,6577.200000000005,TARGET,AUBANK
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-11-13 12:00:00+05:30,227.6,235.5,220.351,242.098,439,3468.1000000000026,CLOSE_BELOW_EMA_FAST,FEDERALBNK
VOLATILITY_BREAKOUT,2025-10-20 08:00:00+05:30,2025-10-20 12:00:00+05:30,2025-10-31 08:00:00+05:30,75.81,80.62,73.405,80.62,1319,6344.390000000003,TARGET,IDFCFIRSTB
VOLATILITY_BREAKOUT,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-11-04 12:00:00+05:30,1542.4,1525.0,1497.4,1632.4,64,-1113.6000000000058,CLOSE_BELOW_EMA_FAST,HCLTECH
VOLATILITY_BREAKOUT,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-10-31 12:00:00+05:30,714.45,754.8700000000001,694.24,754.8700000000001,139,5618.38000000001,TARGET,SHRIRAMFIN
VOLATILITY_BREAKOUT,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-10-28 08:00:00+05:30,469.2,455.485,455.485,496.62999999999994,213,-2921.2949999999946,SL,VBL
VOLATILITY_BREAKOUT,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-11-06 08:00:00+05:30,154.63,150.92,148.63,166.63,646,-2396.6600000000053,CLOSE_BELOW_EMA_FAST,INOXWIND
VOLATILITY_BREAKOUT,2025-10-24 08:00:00+05:30,2025-10-24 12:00:00+05:30,2025-11-04 08:00:00+05:30,237.94,232.81,229.55900000000003,254.70199999999997,420,-2154.599999999998,CLOSE_BELOW_EMA_FAST,NATIONALUM
VOLATILITY_BREAKOUT,2025-10-24 12:00:00+05:30,2025-10-27 08:00:00+05:30,2025-10-29 08:00:00+05:30,1747.2,1697.74,1697.74,1846.1200000000001,57,-2819.220000000002,SL,CHOLAFIN
VOLATILITY_BREAKOUT,2025-10-24 12:00:00+05:30,2025-10-27 08:00:00+05:30,2025-10-29 08:00:00+05:30,189.5,182.384,182.384,203.732,527,-3750.1320000000073,SL,SAMMAANCAP
VOLATILITY_BREAKOUT,2025-10-27 08:00:00+05:30,2025-10-27 12:00:00+05:30,2025-11-06 08:00:00+05:30,4299.8,4261.8,4175.6900000000005,4548.02,23,-874.0,CLOSE_BELOW_EMA_FAST,CUMMINSIND
